,Order_ID,Order_Date,Order_YearMonth,Retailer_ID,Product_SKU,Product_Price,Product_Cost, Order_Quantity ,Sales_Amount,Cost_of_Goods_Sold,Product_Discount,Profit,Profit_Margin
0,1,2018-01-01,2018-01-01,99,MH01-S-Gray,38,14.0,29,1102,406.0,0.07317073170731707,696.0,0.631578947368421
1,2,2018-01-01,2018-01-01,477,MH01-S-Orange,33,8.58,29,957,248.82,0.15384615384615385,708.1800000000001,0.7400000000000001
2,3,2018-01-01,2018-01-01,399,MH01-XL-Black,36,20.25,12,432,243.0,0.14285714285714285,189.0,0.4375
3,4,2018-01-01,2018-01-01,131,MH01-XL-Gray,37,18.57,8,296,148.56,0.17777777777777778,147.44,0.4981081081081081
4,5,2018-01-01,2018-01-01,682,MH01-XL-Orange,37,13.14,4,148,52.56,0.075,95.44,0.6448648648648648
5,6,2018-01-01,2018-01-01,626,MH01-XS-Black,43,9.98,4,172,39.92,0.0,132.07999999999998,0.767906976744186
6,7,2018-01-01,2018-01-01,369,MH01-XS-Gray,27,12.96,12,324,155.52,0.35714285714285715,168.48,0.52
7,8,2018-01-01,2018-01-01,760,MH01-XS-Orange,26,18.45,15,390,276.75,0.3953488372093023,113.25,0.2903846153846154
8,9,2018-01-01,2018-01-01,199,MH02-S-Blue,20,17.37,12,240,208.44,0.5555555555555556,31.560000000000002,0.1315
9,10,2018-01-01,2018-01-01,616,MH02-L-Black,36,14.38,49,1764,704.62,0.12195121951219512,1059.38,0.6005555555555556
10,11,2018-01-02,2018-01-01,506,MH02-L-Purple,39,14.42,42,1638,605.64,0.11363636363636363,1032.3600000000001,0.6302564102564103
11,12,2018-01-02,2018-01-01,288,MH02-L-Red,43,20.59,17,731,350.03,0.022727272727272728,380.97,0.5211627906976745
12,13,2018-01-02,2018-01-01,539,MH02-M-Black,36,11.700000000000001,3,108,35.1,0.2,72.9,0.675
13,14,2018-01-03,2018-01-01,584,MH02-M-Purple,44,15.62,23,1012,359.26,0.0,652.74,0.645
14,15,2018-01-03,2018-01-01,203,MH02-M-Red,38,15.8,11,418,173.8,0.09523809523809523,244.2,0.5842105263157894
15,16,2018-01-03,2018-01-01,768,MH02-S-Black,36,13.68,25,900,342.0,0.16279069767441862,558.0,0.62
16,17,2018-01-03,2018-01-01,677,MH02-S-Purple,25,13.870000000000001,29,725,402.23,0.4444444444444444,322.77,0.4452
17,18,2018-01-03,2018-01-01,49,MH02-S-Red,27,22.8,6,162,136.8,0.37209302325581395,25.19999999999999,0.15555555555555547
18,19,2018-01-03,2018-01-01,440,MH02-XL-Black,39,16.3,43,1677,700.9,0.07142857142857142,976.1,0.5820512820512821
19,20,2018-01-03,2018-01-01,581,MH02-XL-Purple,40,17.93,21,840,376.53,0.1111111111111111,463.47,0.5517500000000001
20,21,2018-01-03,2018-01-01,454,MH02-XL-Red,44,22.880000000000003,5,220,114.4,0.022222222222222223,105.6,0.48
21,22,2018-01-03,2018-01-01,379,MH02-XS-Black,26,16.12,43,1118,693.16,0.35,424.84000000000003,0.38
22,23,2018-01-03,2018-01-01,86,MH02-XS-Purple,38,18.62,48,1824,893.76,0.13636363636363635,930.24,0.51
23,24,2018-01-03,2018-01-01,382,MH02-XS-Red,23,10.43,6,138,62.58,0.28125,75.42,0.5465217391304348
24,25,2018-01-03,2018-01-01,119,MH03-S-Red,36,17.32,24,864,415.68,0.18181818181818182,448.32,0.5188888888888888
25,26,2018-01-03,2018-01-01,752,MH03-L-Black,42,14.280000000000001,49,2058,699.72,0.06666666666666667,1358.28,0.66
26,27,2018-01-03,2018-01-01,776,MH03-L-Blue,37,14.69,41,1517,602.29,0.17777777777777778,914.71,0.602972972972973
27,28,2018-01-03,2018-01-01,360,MH03-L-Green,35,11.950000000000001,33,1155,394.35,0.20454545454545456,760.65,0.6585714285714286
28,29,2018-01-04,2018-01-01,570,MH03-M-Black,28,16.16,2,56,32.32,0.36363636363636365,23.68,0.4228571428571429
29,30,2018-01-04,2018-01-01,542,MH03-M-Blue,45,16.14,23,1035,371.22,0.0,663.78,0.6413333333333333
30,31,2018-01-04,2018-01-01,677,MH03-M-Green,24,17.55,30,720,526.5,0.4666666666666667,193.5,0.26875
31,32,2018-01-04,2018-01-01,67,MH03-S-Black,34,21.8,1,34,21.8,0.24444444444444444,12.2,0.3588235294117647
32,33,2018-01-04,2018-01-01,89,MH03-S-Blue,30,14.18,46,1380,652.28,0.3181818181818182,727.72,0.5273333333333333
33,34,2018-01-04,2018-01-01,33,MH03-S-Green,45,23.91,19,855,454.29,0.0,400.71,0.4686666666666666
34,35,2018-01-04,2018-01-01,257,MH03-XL-Black,39,18.63,34,1326,633.42,0.13333333333333333,692.58,0.5223076923076924
35,36,2018-01-04,2018-01-01,282,MH03-XL-Blue,37,18.29,29,1073,530.41,0.17777777777777778,542.59,0.5056756756756757
36,37,2018-01-04,2018-01-01,327,MH03-XL-Green,34,13.43,17,578,228.31,0.20930232558139536,349.69,0.605
37,38,2018-01-04,2018-01-01,295,MH03-XS-Black,35,11.93,27,945,322.11,0.05405405405405406,622.89,0.6591428571428571
38,39,2018-01-04,2018-01-01,664,MH03-XS-Blue,40,16.24,46,1840,747.04,0.047619047619047616,1092.96,0.594
